t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4799998,0,0,0.4599997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4999998,0,0,0.4799997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5199998,0,0,0.4999997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5399998,0,0,0.5199997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5599998,0,0,0.5399997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5799998,0,0,0.5599996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5999998,0,0,0.5799996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.6199998,0,0,0.5999996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
